product_id,product_name,category,supplier_id,unit_cost,selling_price
PROD082,Home Appliance Item 82,Home Appliances,SUP002,10.0,18.0
PROD083,Office Supplie Item 83,Office Supplies,SUP003,12.5,22.5
PROD084,Kitchen Item 84,Kitchen,SUP004,15.0,27.0
PROD085,Accessorie Item 85,Accessories,SUP005,17.5,31.5
PROD086,Electronic Item 86,Electronics,SUP006,20.0,36.0
PROD087,Home Appliance Item 87,Home Appliances,SUP007,22.5,40.5
PROD088,Office Supplie Item 88,Office Supplies,SUP008,25.0,45.0
PROD089,Kitchen Item 89,Kitchen,SUP009,27.5,49.5
PROD090,Accessorie Item 90,Accessories,SUP010,30.0,54.0
PROD091,Electronic Item 91,Electronics,SUP011,32.5,58.5
PROD092,Home Appliance Item 92,Home Appliances,SUP012,35.0,63.0
PROD093,Office Supplie Item 93,Office Supplies,SUP013,37.5,67.5
PROD094,Kitchen Item 94,Kitchen,SUP014,40.0,72.0
PROD095,Accessorie Item 95,Accessories,SUP015,42.5,76.5
PROD096,Electronic Item 96,Electronics,SUP016,45.0,81.0
PROD097,Home Appliance Item 97,Home Appliances,SUP017,47.5,85.5
PROD098,Office Supplie Item 98,Office Supplies,SUP018,50.0,90.0
PROD099,Kitchen Item 99,Kitchen,SUP019,52.5,94.5
PROD100,Accessorie Item 100,Accessories,SUP020,5.0,9.0
